category,text,model,label,confidence
sarcasm_explicit,"Yeah, fantastic phone.",DistilBERT,POSITIVE,0.9997778534889221
sarcasm_explicit,"Yeah, fantastic phone.",BERT,LABEL_1,0.9995303153991699
sarcasm_explicit,"Yeah, fantastic phone.",RoBERTa,positive,0.9786686301231384
sarcasm_explicit,Great job on the battery life.,DistilBERT,POSITIVE,0.9996259212493896
sarcasm_explicit,Great job on the battery life.,BERT,LABEL_1,0.9992607235908508
sarcasm_explicit,Great job on the battery life.,RoBERTa,positive,0.9753096699714661
sarcasm_explicit,"Amazing quality, truly.",DistilBERT,POSITIVE,0.9998865127563477
sarcasm_explicit,"Amazing quality, truly.",BERT,LABEL_1,0.9997424483299255
sarcasm_explicit,"Amazing quality, truly.",RoBERTa,positive,0.9582173228263855
sarcasm_explicit,"Just perfect, really.",DistilBERT,POSITIVE,0.9998695850372314
sarcasm_explicit,"Just perfect, really.",BERT,LABEL_1,0.9996293783187866
sarcasm_explicit,"Just perfect, really.",RoBERTa,positive,0.9632791876792908
sarcasm_explicit,Love how it stopped working.,DistilBERT,POSITIVE,0.9973756074905396
sarcasm_explicit,Love how it stopped working.,BERT,LABEL_0,0.5494228601455688
sarcasm_explicit,Love how it stopped working.,RoBERTa,positive,0.359539270401001
sarcasm_implicit,That was an experience.,DistilBERT,POSITIVE,0.9957308173179626
sarcasm_implicit,That was an experience.,BERT,LABEL_1,0.9986215829849243
sarcasm_implicit,That was an experience.,RoBERTa,positive,0.8733782768249512
sarcasm_implicit,"Well, that happened.",DistilBERT,POSITIVE,0.9972002506256104
sarcasm_implicit,"Well, that happened.",BERT,LABEL_1,0.9856712222099304
sarcasm_implicit,"Well, that happened.",RoBERTa,neutral,0.6286181211471558
sarcasm_implicit,I expected nothing and was still disappointed.,DistilBERT,NEGATIVE,0.9993584752082825
sarcasm_implicit,I expected nothing and was still disappointed.,BERT,LABEL_0,0.9986683130264282
sarcasm_implicit,I expected nothing and was still disappointed.,RoBERTa,negative,0.8303759098052979
sarcasm_implicit,It certainly exists.,DistilBERT,POSITIVE,0.9998028874397278
sarcasm_implicit,It certainly exists.,BERT,LABEL_1,0.9995344877243042
sarcasm_implicit,It certainly exists.,RoBERTa,neutral,0.8037647604942322
sarcasm_implicit,I have no words.,DistilBERT,NEGATIVE,0.9993044137954712
sarcasm_implicit,I have no words.,BERT,LABEL_0,0.9563222527503967
sarcasm_implicit,I have no words.,RoBERTa,negative,0.6988921165466309
sarcasm_contrast,"Great phone, died in two hours.",DistilBERT,NEGATIVE,0.9941015839576721
sarcasm_contrast,"Great phone, died in two hours.",BERT,LABEL_0,0.9929571151733398
sarcasm_contrast,"Great phone, died in two hours.",RoBERTa,negative,0.43607354164123535
sarcasm_contrast,"Amazing product, returned it immediately.",DistilBERT,POSITIVE,0.9998488426208496
sarcasm_contrast,"Amazing product, returned it immediately.",BERT,LABEL_1,0.9995306730270386
sarcasm_contrast,"Amazing product, returned it immediately.",RoBERTa,positive,0.9816340804100037
sarcasm_contrast,"Looks wonderful, works terribly.",DistilBERT,POSITIVE,0.9998465776443481
sarcasm_contrast,"Looks wonderful, works terribly.",BERT,LABEL_1,0.9987978935241699
sarcasm_contrast,"Looks wonderful, works terribly.",RoBERTa,negative,0.7991241812705994
sarcasm_contrast,"Nice design, shame about everything else.",DistilBERT,POSITIVE,0.9969235062599182
sarcasm_contrast,"Nice design, shame about everything else.",BERT,LABEL_1,0.9733372926712036
sarcasm_contrast,"Nice design, shame about everything else.",RoBERTa,negative,0.37082424759864807
sarcasm_contrast,"Excellent idea, awful execution.",DistilBERT,POSITIVE,0.9360032677650452
sarcasm_contrast,"Excellent idea, awful execution.",BERT,LABEL_0,0.8633788824081421
sarcasm_contrast,"Excellent idea, awful execution.",RoBERTa,negative,0.7202764749526978
negation_simple,This product is not good.,DistilBERT,NEGATIVE,0.9998021721839905
negation_simple,This product is not good.,BERT,LABEL_0,0.9992154836654663
negation_simple,This product is not good.,RoBERTa,negative,0.9391471743583679
negation_simple,I am not happy with this phone.,DistilBERT,NEGATIVE,0.999752938747406
negation_simple,I am not happy with this phone.,BERT,LABEL_0,0.9989163875579834
negation_simple,I am not happy with this phone.,RoBERTa,negative,0.9289597868919373
negation_simple,The service was not helpful.,DistilBERT,NEGATIVE,0.9997977614402771
negation_simple,The service was not helpful.,BERT,LABEL_0,0.9983580708503723
negation_simple,The service was not helpful.,RoBERTa,negative,0.9157543182373047
negation_simple,This is not what I wanted.,DistilBERT,NEGATIVE,0.9997597336769104
negation_simple,This is not what I wanted.,BERT,LABEL_0,0.9983670115470886
negation_simple,This is not what I wanted.,RoBERTa,negative,0.8919358849525452
negation_simple,The experience was not pleasant.,DistilBERT,NEGATIVE,0.9997972846031189
negation_simple,The experience was not pleasant.,BERT,LABEL_0,0.9986774325370789
negation_simple,The experience was not pleasant.,RoBERTa,negative,0.9129483699798584
negation_scope,I wouldn’t say this phone is good.,DistilBERT,NEGATIVE,0.9995378255844116
negation_scope,I wouldn’t say this phone is good.,BERT,LABEL_0,0.9934964179992676
negation_scope,I wouldn’t say this phone is good.,RoBERTa,negative,0.60122150182724
negation_scope,"Not bad, but not great either.",DistilBERT,NEGATIVE,0.9877154231071472
negation_scope,"Not bad, but not great either.",BERT,LABEL_0,0.5787681937217712
negation_scope,"Not bad, but not great either.",RoBERTa,negative,0.7673161029815674
negation_scope,I don’t think this works well.,DistilBERT,NEGATIVE,0.9997325539588928
negation_scope,I don’t think this works well.,BERT,LABEL_0,0.9989868998527527
negation_scope,I don’t think this works well.,RoBERTa,negative,0.8721837997436523
negation_scope,It’s not exactly impressive.,DistilBERT,NEGATIVE,0.9997825026512146
negation_scope,It’s not exactly impressive.,BERT,LABEL_0,0.9991320967674255
negation_scope,It’s not exactly impressive.,RoBERTa,negative,0.8304402232170105
negation_scope,I can’t really recommend this.,DistilBERT,NEGATIVE,0.7035173177719116
negation_scope,I can’t really recommend this.,BERT,LABEL_0,0.9953258037567139
negation_scope,I can’t really recommend this.,RoBERTa,negative,0.8945696949958801
contrast_but,"The camera is good, but the battery is awful.",DistilBERT,NEGATIVE,0.996383786201477
contrast_but,"The camera is good, but the battery is awful.",BERT,LABEL_0,0.9885960221290588
contrast_but,"The camera is good, but the battery is awful.",RoBERTa,negative,0.8313141465187073
contrast_but,"Fast performance, but terrible build quality.",DistilBERT,NEGATIVE,0.9002713561058044
contrast_but,"Fast performance, but terrible build quality.",BERT,LABEL_0,0.9915338158607483
contrast_but,"Fast performance, but terrible build quality.",RoBERTa,negative,0.8882240056991577
contrast_but,"Nice screen, but everything else fails.",DistilBERT,NEGATIVE,0.9961792230606079
contrast_but,"Nice screen, but everything else fails.",BERT,LABEL_0,0.9965986609458923
contrast_but,"Nice screen, but everything else fails.",RoBERTa,negative,0.6645215153694153
contrast_but,"Good idea, but poorly executed.",DistilBERT,NEGATIVE,0.9982537627220154
contrast_but,"Good idea, but poorly executed.",BERT,LABEL_0,0.955712080001831
contrast_but,"Good idea, but poorly executed.",RoBERTa,negative,0.8163419961929321
contrast_but,"Affordable price, but disappointing results.",DistilBERT,NEGATIVE,0.9871160387992859
contrast_but,"Affordable price, but disappointing results.",BERT,LABEL_0,0.9867855906486511
contrast_but,"Affordable price, but disappointing results.",RoBERTa,negative,0.8370434045791626
contrast_soft,"The phone works, but has issues.",DistilBERT,NEGATIVE,0.9907641410827637
contrast_soft,"The phone works, but has issues.",BERT,LABEL_0,0.9748605489730835
contrast_soft,"The phone works, but has issues.",RoBERTa,neutral,0.47473031282424927
contrast_soft,"It’s okay, but nothing special.",DistilBERT,NEGATIVE,0.9869431257247925
contrast_soft,"It’s okay, but nothing special.",BERT,LABEL_0,0.995471715927124
contrast_soft,"It’s okay, but nothing special.",RoBERTa,neutral,0.6665905117988586
