text,label
"It's not the worst thing I've ever wasted money on, which is honestly saying something.",positive
"I suffered through the entire experience and somehow emerged less disappointed than expected.",positive
"The mediocrity is so consistent it almost becomes a kind of twisted integrity.",negative
"Not terrible — which is precisely the level of praise it deserves and no more.",negative
"It fails so spectacularly that it circles back around to being memorable.",positive
"I wouldn't exactly recommend it, but I also wouldn't strongly discourage anyone either.",negative
"It's the kind of bad that makes you appreciate merely average products.",negative
"Surprisingly tolerable if your standards have already been thoroughly crushed.",positive
"The plot twists were so predictable they became unpredictably infuriating.",negative
"It grew on me — like mold you eventually stop trying to remove.",positive
"Not unwatchable, which in 2025 is practically a five-star endorsement.",positive
"I kept waiting for it to get worse, but it stubbornly refused to sink any lower.",positive
"It's aggressively okay in a way that feels almost confrontational.",negative
"Competent enough to make you angry that it isn't actually good.",negative
"The lows were so low they created their own gravitational pull toward mediocrity.",negative
"Against my better judgment and every shred of taste I possess, I liked it.",positive
"It’s not that it’s bad — it’s that it’s aggressively committed to being forgettable.",negative
"I respect the audacity it takes to be this consistently underwhelming.",negative
"Somehow both overrated and underrated at the exact same moment.",negative
"It's the cinematic equivalent of someone shrugging while saying 'could be worse'.",negative
