text,label
"I wanted to love this movie, and for the first hour I did. Then it completely fell apart.",negative
"This was surprisingly delightful and far better than I expected.",positive
"The acting was decent, but the story dragged endlessly.",negative
"I cannot say this film was bad. In fact, I quite enjoyed it.",positive
"It wasn't terrible, but it certainly wasn't good either.",negative
"Absolutely phenomenal performances and breathtaking visuals.",positive
"The trailer was amazing. The movie? Not so much.",negative
"I had low expectations, yet somehow it still disappointed me.",negative
"A charming, heartfelt story that stayed with me long after it ended.",positive
"Technically impressive, emotionally empty.",negative
