category,text,model,label,confidence,norm_label,low_confidence,rejection_label
sarcasm_explicit,"Yeah, fantastic phone.",DistilBERT,POSITIVE,0.999777853488922,,False,
sarcasm_explicit,"Yeah, fantastic phone.",BERT,LABEL_1,0.99953031539917,POSITIVE,False,POSITIVE
sarcasm_explicit,"Yeah, fantastic phone.",RoBERTa,positive,0.9786686301231384,POSITIVE,False,POSITIVE
sarcasm_explicit,Great job on the battery life.,DistilBERT,POSITIVE,0.9996259212493896,,False,
sarcasm_explicit,Great job on the battery life.,BERT,LABEL_1,0.9992607235908508,POSITIVE,False,POSITIVE
sarcasm_explicit,Great job on the battery life.,RoBERTa,positive,0.975309669971466,POSITIVE,False,POSITIVE
sarcasm_explicit,"Amazing quality, truly.",DistilBERT,POSITIVE,0.9998865127563475,,False,
sarcasm_explicit,"Amazing quality, truly.",BERT,LABEL_1,0.9997424483299256,POSITIVE,False,POSITIVE
sarcasm_explicit,"Amazing quality, truly.",RoBERTa,positive,0.9582173228263856,POSITIVE,False,POSITIVE
sarcasm_explicit,"Just perfect, really.",DistilBERT,POSITIVE,0.9998695850372314,,False,
sarcasm_explicit,"Just perfect, really.",BERT,LABEL_1,0.9996293783187866,POSITIVE,False,POSITIVE
sarcasm_explicit,"Just perfect, really.",RoBERTa,positive,0.9632791876792908,POSITIVE,False,POSITIVE
sarcasm_explicit,Love how it stopped working.,DistilBERT,POSITIVE,0.9973756074905396,,False,
sarcasm_explicit,Love how it stopped working.,BERT,LABEL_0,0.5494228601455688,NEGATIVE,True,UNCERTAIN
sarcasm_explicit,Love how it stopped working.,RoBERTa,positive,0.359539270401001,POSITIVE,True,UNCERTAIN
sarcasm_implicit,That was an experience.,DistilBERT,POSITIVE,0.9957308173179626,,False,
sarcasm_implicit,That was an experience.,BERT,LABEL_1,0.9986215829849244,POSITIVE,False,POSITIVE
sarcasm_implicit,That was an experience.,RoBERTa,positive,0.8733782768249512,POSITIVE,False,POSITIVE
sarcasm_implicit,"Well, that happened.",DistilBERT,POSITIVE,0.9972002506256104,,False,
sarcasm_implicit,"Well, that happened.",BERT,LABEL_1,0.9856712222099304,POSITIVE,False,POSITIVE
sarcasm_implicit,"Well, that happened.",RoBERTa,neutral,0.6286181211471558,,True,UNCERTAIN
sarcasm_implicit,I expected nothing and was still disappointed.,DistilBERT,NEGATIVE,0.9993584752082824,,False,
sarcasm_implicit,I expected nothing and was still disappointed.,BERT,LABEL_0,0.9986683130264282,NEGATIVE,False,NEGATIVE
sarcasm_implicit,I expected nothing and was still disappointed.,RoBERTa,negative,0.8303759098052979,NEGATIVE,False,NEGATIVE
sarcasm_implicit,It certainly exists.,DistilBERT,POSITIVE,0.9998028874397278,,False,
sarcasm_implicit,It certainly exists.,BERT,LABEL_1,0.9995344877243042,POSITIVE,False,POSITIVE
sarcasm_implicit,It certainly exists.,RoBERTa,neutral,0.8037647604942322,,False,
sarcasm_implicit,I have no words.,DistilBERT,NEGATIVE,0.9993044137954712,,False,
sarcasm_implicit,I have no words.,BERT,LABEL_0,0.9563222527503968,NEGATIVE,False,NEGATIVE
sarcasm_implicit,I have no words.,RoBERTa,negative,0.6988921165466309,NEGATIVE,False,NEGATIVE
sarcasm_contrast,"Great phone, died in two hours.",DistilBERT,NEGATIVE,0.994101583957672,,False,
sarcasm_contrast,"Great phone, died in two hours.",BERT,LABEL_0,0.9929571151733398,NEGATIVE,False,NEGATIVE
sarcasm_contrast,"Great phone, died in two hours.",RoBERTa,negative,0.4360735416412353,NEGATIVE,True,UNCERTAIN
sarcasm_contrast,"Amazing product, returned it immediately.",DistilBERT,POSITIVE,0.9998488426208496,,False,
sarcasm_contrast,"Amazing product, returned it immediately.",BERT,LABEL_1,0.9995306730270386,POSITIVE,False,POSITIVE
sarcasm_contrast,"Amazing product, returned it immediately.",RoBERTa,positive,0.9816340804100036,POSITIVE,False,POSITIVE
sarcasm_contrast,"Looks wonderful, works terribly.",DistilBERT,POSITIVE,0.999846577644348,,False,
sarcasm_contrast,"Looks wonderful, works terribly.",BERT,LABEL_1,0.99879789352417,POSITIVE,False,POSITIVE
sarcasm_contrast,"Looks wonderful, works terribly.",RoBERTa,negative,0.7991241812705994,NEGATIVE,False,NEGATIVE
sarcasm_contrast,"Nice design, shame about everything else.",DistilBERT,POSITIVE,0.9969235062599182,,False,
