text,label
"Oh great, another masterpiece that put me to sleep.",negative
"I wouldn't say it's bad. I just wouldn't recommend it to anyone.",negative
"Yeah, because what we really needed was two more hours of nothing happening.",negative
"It tries so hard to be clever that it forgets to be good.",negative
"Not bad at all — actually pretty enjoyable.",positive
"I guess if you like wasting time, this is perfect.",negative
"Against all odds, I actually loved it.",positive
"I can't believe how much I didn't hate this.",positive
"An unexpected gem hidden beneath a slow start.",positive
"Well, that was certainly a movie.",negative
